Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
The Grand Budapest Hotel (2014),8.1,Won 4 Oscars,134 wins & 226 nominations total,Wes Anderson,"Mar 9, 2014",R,980,579,755K
The Omen (1976),7.5,Won 1 Oscar,5 wins & 8 nominations total,Richard Donner,"$60,922,980",R,399,146,114K
Million Dollar Baby (2004),8.1,Won 4 Oscars,67 wins & 86 nominations total,Clint Eastwood,"$216,763,646",PG-13,1.2K,270,662K
The Bourne Identity (2002),7.9,Awards,3 wins & 6 nominations,Doug Liman,"$214,034,224",PG-13,961,255,528K
True Romance (1993),7.9,Awards,1 win & 10 nominations,Tony Scott,"$13,088,850",R,585,152,219K
The Silence of the Lambs (1991),8.6,Won 5 Oscars,69 wins & 51 nominations total,Jonathan Demme,"$272,742,922",R,1.4K,246,1.3M
The Butterfly Effect (2004),7.6,Awards,1 win & 8 nominations,Eric Bress,"$96,822,421",R,1.2K,180,470K
Rocky (1976),8.1,Won 3 Oscars,20 wins & 22 nominations total,John G. Avildsen,"$117,250,382",PG,765,196,545K
The Graduate (1967),8.0,Won 1 Oscar,21 wins & 21 nominations total,Mike Nichols,"$105,015,008",PG,806,197,265K
Fight Club (1999),8.8,Nominated for 1 Oscar,11 wins & 38 nominations total,David Fincher,"$101,209,702",R,4.1K,384,2M
Unforgiven (1992),8.2,Won 4 Oscars,50 wins & 47 nominations total,Clint Eastwood,"$159,157,447",R,656,138,395K
Mystic River (2003),7.9,Won 2 Oscars,56 wins & 144 nominations total,Clint Eastwood,"$156,595,191",R,1.1K,225,440K
The Bridge on the River Kwai (1957),8.1,Won 7 Oscars,30 wins & 8 nominations total,David Lean,"$27,200,000",PG,360,105,213K
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,Nominated for 4 Oscars,14 wins & 11 nominations total,Stanley Kubrick,"Jul 17, 1994",PG,1K,236,471K
Casino (1995),8.2,Nominated for 1 Oscar,4 wins & 11 nominations total,Martin Scorsese,"$116,112,375",R,705,123,493K
Deliverance (1972),7.7,Nominated for 3 Oscars,3 wins & 15 nominations total,John Boorman,"$4,534",R,430,146,104K
Touch of Evil (1958),8.0,Awards,7 wins & 1 nomination,Orson Welles,"Sep 13, 1998",PG-13,342,126,102K
Seppuku (1962),8.6,Awards,9 wins & 2 nominations,Masaki Kobayashi,"$15,222",Not Rated,279,83,50K
WALL·E (2008),8.4,Won 1 Oscar,93 wins & 95 nominations total,Andrew Stanton,"$521,311,890",G,1.4K,273,1.1M
Misery (1990),7.8,Won 1 Oscar,5 wins & 10 nominations total,Rob Reiner,"$61,277,271",R,454,181,198K
Mississippi Burning (1988),7.8,Won 1 Oscar,17 wins & 24 nominations total,Alan Parker,"$34,603,943",R,224,75,96K
The Untouchables (1987),7.9,Won 1 Oscar,11 wins & 16 nominations total,Brian De Palma,"$76,270,454",R,570,145,297K
Mononoke-hime (1997),8.4,Awards,13 wins & 6 nominations,Hayao Miyazaki,"$169,785,704",PG-13,766,211,369K
Dances with Wolves (1990),8.0,Won 7 Oscars,51 wins & 38 nominations total,Kevin Costner,"$424,208,848",PG-13,514,88,252K
Tootsie (1982),7.4,Won 1 Oscar,25 wins & 30 nominations total,Sydney Pollack,"$177,200,000",PG,262,100,103K
Groundhog Day (1993),8.0,Awards,7 wins & 17 nominations total,Harold Ramis,"$71,074,049",PG,851,138,599K
Safety Last! (1923),8.1,Awards,1 win & 1 nomination,Fred C. Newmeyer,"$121,000 (estimated)",Not Rated,105,85,20K
Shichinin no samurai (1954),8.6,Nominated for 2 Oscars,5 wins & 8 nominations total,Akira Kurosawa,"$346,258",Not Rated,779,124,332K
The Birds (1963),7.7,Nominated for 1 Oscar,5 wins & 7 nominations total,Alfred Hitchcock,"$53,647",PG-13,599,182,181K
Vertigo (1958),8.3,Nominated for 2 Oscars,8 wins & 7 nominations total,Alfred Hitchcock,"Mar 18, 2018",PG,978,197,386K
Kill Bill: Vol. 1 (2003),8.1,Awards,29 wins & 103 nominations total,Quentin Tarantino,"$180,906,076",R,2.3K,341,1.1M
Raging Bull (1980),8.2,Won 2 Oscars,24 wins & 28 nominations total,Martin Scorsese,"$23,402,427",R,644,154,338K
Hotaru no haka (1988),8.5,Awards,3 wins,Isao Takahata,"$516,962",Not Rated,875,135,256K
Lion of the Desert (1980),8.3,Awards,3 wins,Isao Takahata,"$35,000,000 (estimated)",Not Rated,875,135,256K
The Assassination of Jesse James by the Coward Robert Ford (2007),7.5,Nominated for 2 Oscars,26 wins & 70 nominations total,Andrew Dominik,"$15,001,776",R,504,282,176K
Dead Man (1995),7.6,Awards,5 wins & 14 nominations,Jim Jarmusch,"$1,037,847",R,363,119,94K
North by Northwest (1959),8.3,Nominated for 3 Oscars,8 wins & 10 nominations total,Alfred Hitchcock,"$75,591",Approved,676,185,315K
Lawrence of Arabia (1962),8.3,Won 7 Oscars,31 wins & 14 nominations total,David Lean,"Sep 22, 2002",Approved,725,161,282K
The Sixth Sense (1999),8.1,Nominated for 6 Oscars,37 wins & 56 nominations total,M. Night Shyamalan,"$672,806,432",PG-13,2.3K,270,949K
La ciociara (1960),7.8,Won 1 Oscar,11 wins & 3 nominations total,Vittorio De Sica,"$14,062",Not Rated,55,38,11K
Lord of War (2005),7.6,Awards,2 wins & 3 nominations,Andrew Niccol,"$72,617,068",R,503,157,305K
El orfanato (2007),7.4,Awards,32 wins & 43 nominations,J.A. Bayona,"$78,638,987",R,359,318,152K
A Clockwork Orange (1971),8.3,Nominated for 4 Oscars,12 wins & 24 nominations total,Stanley Kubrick,"$26,904,636",X,1.6K,198,792K
Apollo 13 (1995),7.6,Won 2 Oscars,28 wins & 59 nominations total,Ron Howard,"$355,237,933",PG,429,166,283K
Spartacus (1960),7.9,Won 4 Oscars,12 wins & 11 nominations total,Stanley Kubrick,"Apr 28, 1991",PG-13,349,133,131K
First Blood (1982),7.7,Awards,1 win & 2 nominations,Ted Kotcheff,"$125,212,904",R,527,208,240K
The Fugitive (1993),7.8,Won 1 Oscar,13 wins & 37 nominations total,Andrew Davis,"$368,875,760",PG-13,373,116,282K
Butch Cassidy and the Sundance Kid (1969),8.0,Won 4 Oscars,21 wins & 15 nominations total,George Roy Hill,"$102,310,697",PG,455,114,210K
Der Name der Rose (1986),7.7,Awards,17 wins & 6 nominations total,Jean-Jacques Annaud,"$7,153,487",R,188,80,106K
Jagten (2012),8.3,Nominated for 1 Oscar,38 wins & 73 nominations total,Thomas Vinterberg,"$15,843,274",R,513,383,308K
Suna no onna (1964),8.5,Nominated for 2 Oscars,10 wins & 3 nominations total,Hiroshi Teshigahara,Woman in the Dunes,Not Rated,96,111,19K
