Title,Rating,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number,Oscar Awards,Total Wins,Total Nom,Year,After 2002
American Psycho ,7.6,Mary Harron,34266564.0,R,1300,324,53500,0,8,13,2000,0
The Thing ,8.1,John Carpenter,19632053.0,R,1200,374,39800,0,0,3,1982,0
Jaws ,8.0,Steven Spielberg,471411300.0,PG,1300,283,56900,3,15,20,1975,0
Heat ,8.2,Michael Mann,187436818.0,R,1200,225,61500,0,0,14,1995,0
Top Gun ,6.9,Tony Scott,357288178.0,PG,557,208,31400,1,11,5,1986,0
Pulp Fiction ,8.9,Quentin Tarantino,213928762.0,R,3300,302,1900000,1,70,75,1994,0
The Lost Boys ,7.3,Joel Schumacher,32388898.0,R,459,166,13400,0,3,5,1987,0
Ed Wood ,7.8,Tim Burton,5887725.0,R,478,106,17200,2,27,34,1994,0
The Game ,7.7,David Fincher,109423648.0,R,761,181,37300,0,0,1,1997,0
Some Like It Hot ,8.2,Billy Wilder,195088.0,Passed,467,231,25600,1,15,15,1959,0
Alien ,8.4,Ridley Scott,106285522.0,R,1600,316,83200,1,18,22,1979,0
The Truman Show ,8.1,Peter Weir,264118201.0,PG,1300,253,100000,0,40,69,1998,0
The Evil Dead ,7.5,Sam Raimi,2895379.0,NC-17,935,378,19800,0,3,1,1981,0
The Blue Max ,7.1,John Guillermin,5000000.0,Approved,102,40,6700,0,1,5,1966,0
Mad Max: Fury Road ,8.1,George Miller,375658750.0,R,2100,843,93900,6,245,231,2015,1
Lost in Translation ,7.7,Sofia Coppola,118686937.0,R,200,290,43600,1,97,132,2003,1
50/50 ,7.6,Jonathan Levine,41097853.0,R,460,342,32400,0,12,28,2011,1
Wonder Woman ,7.4,Patty Jenkins,822824522.0,PG-13,2400,725,61800,0,29,72,2017,1
Whiplash ,8.5,Damien Chazelle,49396747.0,R,1400,592,77500,3,98,145,2014,1
The Irishman ,7.8,Martin Scorsese,968853.0,R,2800,449,35700,0,73,350,2019,1
The Goonies ,7.8,Richard Donner,63980721.0,PG,549,117,25900,0,3,6,1985,0
The Lion King ,8.5,Roger Allers,1063611805.0,G,1100,230,99300,2,39,35,1994,0
12 Angry Men ,9.0,Sidney Lumet,955.0,Approved,1800,160,73800,0,17,13,1957,0
Ernest et Célestine ,7.9,Stéphane Aubier,8111137.0,PG,61,108,2000,0,14,15,2012,1
Boyz n the Hood ,7.8,John Singleton,57529070.0,R,258,84,13400,0,12,23,1991,0
Ferris Bueller's Day Off ,7.8,John Hughes,70720215.0,PG-13,634,152,33900,0,2,1,1986,0
The Bling Ring ,5.6,Sofia Coppola,20045576.0,R,212,350,8600,0,4,7,2013,1
Life ,6.6,Daniel Espinosa,100541806.0,R,1100,405,21900,0,0,8,2017,1
The Fly ,7.6,David Cronenberg,60629159.0,R,399,196,17100,1,7,10,1986,0
Batman Begins ,8.2,Christopher Nolan,373661946.0,PG-13,300,331,1400000,0,13,79,2005,1
Point Blank ,7.3,John Boorman,2500000.0,Not Rated,168,109,2000,0,1,0,1967,0
Memento ,8.4,Christopher Nolan,40047078.0,R,2400,233,1200000,0,57,59,2000,0
Predator ,7.8,John McTiernan,98268458.0,R,873,277,39100,0,3,6,1987,0
Police Academy ,6.7,Hugh Wilson,81198894.0,R,194,67,12100,0,0,1,1984,0
Per un pugno di dollari ,8.0,Sergio Leone,14516248.0,R,330,122,20900,0,1,4,1964,0
Atomic Blonde ,6.7,David Leitch,100014025.0,R,798,465,18600,0,10,18,2017,1
Zootopia ,8.0,Byron Howard,1024121104.0,PG,793,486,46400,1,47,72,2016,1
Ace Ventura: Pet Detective ,6.9,Tom Shadyac,107217396.0,PG-13,335,83,28900,0,5,5,1994,0
Taxi Driver ,8.2,Martin Scorsese,28570902.0,R,1200,307,77000,0,22,20,1976,0
Jagten ,8.3,Thomas Vinterberg,15843274.0,R,512,383,30800,0,38,73,2012,1
Metropolis ,8.3,Fritz Lang,1349711.0,Not Rated,522,220,16800,0,6,6,1927,0
The Rocky Horror Picture Show ,7.4,Jim Sharman,112892319.0,R,599,121,14400,0,4,5,1975,0
Inside Out ,8.1,Pete Docter,858848019.0,PG,1100,599,66200,1,100,116,2015,1
Shichinin no samurai ,8.6,Akira Kurosawa,346258.0,Not Rated,779,124,33200,0,5,8,1954,0
World War Z ,7.0,Marc Forster,540455876.0,PG-13,1200,668,63200,0,3,25,2013,1
Kill Bill: Vol. 1 ,8.1,Quentin Tarantino,180906076.0,R,2300,341,1100000,0,29,103,2003,1
La vita è bella ,8.6,Roberto Benigni,230098753.0,PG-13,1400,160,65900,3,72,52,1997,0
The Shawshank Redemption ,9.3,Frank Darabont,28817291.0,R,9600,193,2500000,0,21,43,1994,0
[Rec] ,7.4,Jaume Balagueró,32511655.0,R,481,295,17300,0,16,12,2007,1
The Enemy Below ,7.5,Dick Powell,1910000.0,Approved,113,28,1100,1,3,3,1957,0
Spider-Man: Into the Spider-Verse ,8.4,Bob Persichetti,375540831.0,PG,200,414,43900,1,81,58,2018,1
Air Force One ,6.5,Wolfgang Petersen,315156409.0,R,469,123,18900,0,7,13,1997,0
JCVD ,7.1,Mabrouk El Mechri,2342211.0,R,149,177,3900,0,0,2,2008,1
Boyhood ,7.9,Richard Linklater,48137666.0,R,100,590,34600,1,173,218,2014,1
Fight Club ,8.8,David Fincher,101209702.0,R,4100,384,200000,0,11,38,1999,0
Tag ,6.5,Jeff Tomsic,78130625.0,R,521,198,12600,0,0,3,2018,1
Better Watch Out ,6.5,Chris Peckover,176288.0,R,349,197,3500,0,8,2,2016,1
The Great Gatsby ,7.2,Baz Luhrmann,353642274.0,PG-13,100,373,50900,2,50,86,2013,1
Akira ,8.0,Katsuhiro Ôtomo,2562351.0,R,579,140,17600,0,1,0,1988,0
Life of Pi ,7.9,Ang Lee,609016565.0,PG,977,575,60500,4,81,135,2012,1
Sen to Chihiro no kamikakushi ,8.6,Hayao Miyazaki,355705804.0,PG,1500,210,70300,1,58,31,2001,0
The Hitcher ,7.2,Robert Harmon,5844868.0,R,290,117,4600,0,0,3,1986,0
Aliens ,8.3,James Cameron,131060248.0,R,1400,218,68500,2,20,23,1986,0
Iron Man ,7.9,Jon Favreau,585796247.0,PG-13,1400,551,99400,0,21,73,2008,1
Chicken Run ,7.0,Peter Lord,224834564.0,G,413,153,18500,0,23,26,2000,0
Payback ,7.1,Brian Helgeland,161626121.0,R,435,119,13600,0,2,2,1999,0
Pay It Forward ,7.2,Mimi Leder,55707411.0,PG-13,681,133,11700,0,1,4,2000,0
Shaft ,6.0,John Singleton,107626125.0,R,313,133,7600,0,1,13,2000,0
Easy Rider ,7.3,Dennis Hopper,123276.0,R,459,130,10600,0,8,14,1969,0
Harry Potter and the Sorcerer's Stone ,7.6,Chris Columbus,1012484430.0,PG,1800,278,71200,0,17,68,2001,0
Brokeback Mountain ,7.7,Ang Lee,178062759.0,R,2400,238,34200,3,141,132,2005,1
True Grit ,7.4,Henry Hathaway,276418.0,G,202,87,4600,1,6,7,1969,0
The Others ,7.6,Alejandro Amenábar,209947037.0,PG-13,1200,167,35300,0,29,55,2001,0
Pain & Gain ,6.4,Michael Bay,87305549.0,R,352,351,21000,0,0,4,2013,1
Tangled ,7.7,Nathan Greno,592462816.0,PG,534,346,42700,0,10,41,2010,1
Misery ,7.8,Rob Reiner,61277271.0,R,454,181,19800,1,5,10,1990,0
Mad Max ,6.9,George Miller,8773197.0,R,409,258,20000,0,5,8,1979,0
The Lord of the Rings: The Fellowship of the Ring ,8.8,Peter Jackson,897690072.0,PG-13,5500,201,1700000,4,120,126,2001,0
Point Break ,7.3,Kathryn Bigelow,83531958.0,R,412,127,17100,0,1,2,1991,0
John Wick ,7.4,Chad Stahelski,86081711.0,R,1300,463,58500,0,5,10,2014,1
The Princess Bride ,8.1,Rob Reiner,30902442.0,PG,925,227,41200,0,7,10,1987,0
Looper ,7.4,Rian Johnson,176506819.0,R,815,630,55400,0,18,47,2012,1
Cars 2 ,6.1,John Lasseter,559852396.0,G,393,321,17400,0,1,19,2011,1
Witness for the Prosecution ,8.4,Billy Wilder,7693.0,Approved,304,108,11800,0,4,16,1957,0
The Birds ,7.7,Alfred Hitchcock,53647.0,PG-13,599,182,18100,0,5,7,1963,0
Hauru no ugoku shiro ,8.2,Hayao Miyazaki,236214446.0,PG,516,254,36300,0,14,20,2004,1
Black Christmas ,7.2,Bob Clark,620000.0,R,443,200,3800,0,3,2,1974,0
The Dark Knight ,9.0,Christopher Nolan,1005973645.0,PG-13,7700,433,2400000,2,159,163,2008,1
Once Upon a Time in... Hollywood ,7.6,Quentin Tarantino,374565754.0,R,5600,646,65300,2,141,376,2019,1
